VideoName,VideoTime,Seconds,Platform,Domain,USER,URL,Length,Views,Like,Love,Wow,Haha,Angry,Sad,Shares,Comments,Upload,Title,Description,Likes,SocialReactions,ReTweets,Category,Tags,audioLanguage,Dislikes,Favourites,Engagements,
X1001241283556739.mp4,0:00:21,21,FB,WMC,Investec,https://www.facebook.com/InvestecBank/videos/1001241283556739,0:00,183,7,0,0,0,0,0,0,0,7 November at 02:24,Investec - Business Out of The Ordinary | Facebook,WATCH LIVESTREAM: Richard Branson headlines the 2nd panel with Fani Titi Joint-CEO at #Investec Her Majesty&#x2019s Trade Commissioner for Africa Emma...,,,,,,,,,,
X1004957819602268.mp4,0:01:47,107,FB,WMC,Investec,https://www.facebook.com/InvestecBank/videos/1004957819602268,0:00,4742,71,3,0,0,0,0,0,0,31.Aug.16,Investec - Investec Digital new features and functionality | Facebook,Investec Digital has great new features and functionalities. To find out what these are watch the short video now.,,,,,,,,,,
X1006547906404046.mp4,0:00:23,23,FB,WMC,Investec,https://www.facebook.com/InvestecBank/videos/1006547906404046,0:00,864,12,2,0,0,0,0,0,0,2.Oct,Investec - 12-Month Fixed Deposit | Facebook,A 12-month fixed deposit with capital guaranteed. Save from R100 000 and earn 7.85% returns. No monthly fees. Partner with Investec&#x2019s Out of the...,,,,,,,,,,
X1037348933029823.mp4,0:03:38,218,FB,WMC,Investec,https://www.facebook.com/InvestecBank/videos/1037348933029823,0:00,78767,1600,116,24,1,1,1,0,0,22.Sep.16,Investec - Investec Rhino Lifeline extends its reach to...,Investec Rhino Lifeline extends its reach to educate kids in the crucial conservation area around the Kruger National Park: https:goo.glEliMQ4...,,,,,,,,,,
X1063862240378492.mp4,0:03:39,219,FB,WMC,Investec,https://www.facebook.com/InvestecBank/videos/1063862240378492,0:00,772,18,0,0,0,0,0,0,0,18.Oct.16,Investec - SA’s political tipping point? Watch as Stephen Grootes shares ... | Facebook,Senior political correspondent Stephen Grootes shares his views on the recent developments involving Minister of Finance Pravin Gordhan and the possible...,,,,,,,,,,
X1117712934993422.mp4,0:01:15,75,FB,WMC,Investec,https://www.facebook.com/InvestecBank/videos/1117712934993422,0:00,2308,45,9,0,0,0,0,0,0,8.Dec.16,Investec - Give an Out of the Ordinary gift this festive...,Give an Out of the Ordinary gift this festive season. Help us rescue and rehabilitate rhinos orphaned through poaching. Give to our partner Care for Wild...,,,,,,,,,,
X1124487600982622.mp4,0:01:13,73,FB,WMC,Investec,https://www.facebook.com/InvestecBank/videos/1124487600982622,0:00,38532,0,11,0,0,0,0,0,0,14.Dec.16,Investec - SAA Lounge access for Investec clients | Facebook,Enjoy unlimited complimentary access to SAA-owned Lounges. Watch this video to peek inside,,,,,,,,,,
X1124501714424808.mp4,0:01:00,60,FB,WMC,Investec,https://www.facebook.com/InvestecBank/videos/1124501714424808,0:00,1361,11,5,0,0,0,0,0,0,12.Apr,Investec - Not just about animals | Facebook,It is easy to sit at home and say we should do something. Everyone should do something. https:invest.ec2GiMrYK #RhinoLifeline #partnerwithInvestec,,,,,,,,,,
X1129672057130843.mp4,0:00:22,22,FB,WMC,Investec,https://www.facebook.com/InvestecBank/videos/1129672057130843,0:00,1163,94,3,0,0,0,0,0,0,19.Dec.16,Investec - We wish you all the happiness for the festive...,We wish you all the happiness for the festive season peace and prosperity in the new year and hope you can take the opportunity to enjoy a well-earned...,,,,,,,,,,
X1155191301325560.mp4,0:00:45,45,FB,WMC,Investec,https://www.facebook.com/InvestecBank/videos/1155191301325560,0:00,573,13,0,0,0,0,0,0,0,8.Feb,Investec - Maps Maponyane | Facebook,Are you into contemporary African art? Maps Maponyane shares his private collection and some handy tips to bolster your collection. Watch full video...,,,,,,,,,,
X1157961301052369.mp4,0:00:30,30,FB,WMC,Investec,https://www.facebook.com/InvestecBank/videos/1157961301052369,0:00,1672,22,2,0,0,0,0,0,0,23.Apr,Investec - Road to Wellington 2019 | Facebook,The Road to Wellington starts here! Calling individual Investec Private Banking or Wealth &amp Investment clients. Enter now for a chance to win an...,,,,,,,,,,
